iter	RMSE
0	14.63155458
1	14.18176873
2	13.76157585
3	13.36452831
4	13.01786742
5	12.67303999
6	12.35958733
7	12.0655882
8	11.79390793
9	11.53662106
10	11.29932594
11	11.08455853
12	10.88884487
13	10.70347908
14	10.53368065
15	10.37921351
16	10.23357675
17	10.09476182
18	9.964431465
19	9.845836267
20	9.73747018
21	9.637543206
22	9.541228845
23	9.4549026
24	9.376130619
25	9.303993636
26	9.219778059
27	9.142265048
28	9.078679245
29	9.017660309
30	8.952313521
31	8.900791564
32	8.848339366
33	8.792353393
34	8.737578701
35	8.696894395
36	8.648094825
37	8.612580365
38	8.576652356
39	8.537104573
40	8.502613002
41	8.463477933
42	8.430275786
43	8.392672079
44	8.348742219
45	8.309475285
46	8.274587557
47	8.246655635
48	8.219509289
49	8.187592856
50	8.154587943
51	8.128307281
52	8.10062988
53	8.074136752
54	8.043069237
55	8.01253834
56	7.990454373
57	7.962427769
58	7.926209609
59	7.905216894
60	7.884386947
61	7.86755414
62	7.840302545
63	7.818249748
64	7.804329463
65	7.788364485
66	7.775567526
67	7.760247582
68	7.739380746
69	7.720957893
70	7.704083459
71	7.69383628
72	7.684806861
73	7.670617627
74	7.661333115
75	7.652474947
76	7.640406806
77	7.63173066
78	7.622412373
79	7.604036321
80	7.595284226
81	7.582704114
82	7.571756508
83	7.560465871
84	7.553484955
85	7.547493454
86	7.536373504
87	7.530475361
88	7.523536383
89	7.514310057
90	7.506215295
91	7.493940094
92	7.481759218
93	7.468275299
94	7.45996624
95	7.454628942
96	7.448404362
97	7.438758786
98	7.430102158
99	7.420678426
100	7.412176484
101	7.403049517
102	7.397989823
103	7.39307086
104	7.383567936
105	7.37692916
106	7.370363987
107	7.363082342
108	7.355325932
109	7.351510818
110	7.343505635
111	7.338963852
112	7.335001807
113	7.327899644
114	7.324945178
115	7.320235258
116	7.316999273
117	7.312658617
118	7.308732318
119	7.30621845
120	7.300749264
121	7.293912787
122	7.286868682
123	7.281838649
124	7.278510527
125	7.274304037
126	7.269024156
127	7.266337517
128	7.263856266
129	7.260910705
130	7.257558294
131	7.252029996
132	7.248053561
133	7.24404955
134	7.240962605
135	7.238170011
136	7.234076792
137	7.230797745
138	7.228079114
139	7.224180432
140	7.220909646
141	7.217056551
142	7.211735116
143	7.204880623
144	7.201592338
145	7.19926964
146	7.196447744
147	7.194612048
148	7.192516692
149	7.188402471
150	7.186541568
151	7.185052983
152	7.183215597
153	7.180767378
154	7.1770412
155	7.174641041
156	7.171263272
157	7.168579864
158	7.165167446
159	7.160320501
160	7.157557672
161	7.156433894
162	7.152274948
163	7.148301336
164	7.146397907
165	7.143802679
166	7.14074878
167	7.135457279
168	7.133009266
169	7.131588968
170	7.127632016
171	7.123895137
172	7.121949338
173	7.11903652
174	7.117729705
175	7.113057891
176	7.10881581
177	7.106708752
178	7.105018697
179	7.102959236
180	7.102193915
181	7.099526333
182	7.097273579
183	7.095923312
184	7.092996078
185	7.091548026
186	7.089572524
187	7.087895037
188	7.084867548
189	7.081732299
190	7.079085116
191	7.075837098
192	7.073856993
193	7.072291991
194	7.070731791
195	7.069260354
196	7.067600723
197	7.064735959
198	7.062428919
199	7.06103472
200	7.059264742
201	7.05758487
202	7.0563933
203	7.055460585
204	7.054246721
205	7.051581125
206	7.050308782
207	7.047220907
208	7.046039796
209	7.044651907
210	7.043037664
211	7.041584426
212	7.038739379
213	7.037747343
214	7.035959433
215	7.034985787
216	7.032923254
217	7.03090072
218	7.029112455
219	7.028007195
220	7.026490631
221	7.025448066
222	7.023606759
223	7.021385632
224	7.020002253
225	7.018631488
226	7.016811228
227	7.015291995
228	7.014320678
229	7.013102425
230	7.01148437
231	7.010440087
232	7.009087168
233	7.006827988
234	7.004098571
235	7.002647908
236	7.001180128
237	6.999014696
238	6.997212788
239	6.995203752
240	6.994283737
241	6.992732493
242	6.991833706
243	6.990155129
244	6.989328249
245	6.988102784
246	6.987480166
247	6.98655692
248	6.985256166
249	6.983037504
250	6.981865232
251	6.980130501
252	6.978047863
253	6.976828163
254	6.975712987
255	6.974132127
256	6.972598072
257	6.971658681
258	6.970443969
259	6.969520074
260	6.968647008
261	6.967874751
262	6.966823951
263	6.965257092
264	6.963882121
265	6.962807326
266	6.960967074
267	6.959699676
268	6.957667792
269	6.956520336
270	6.954807049
271	6.953653495
272	6.953058892
273	6.951996945
274	6.950660737
275	6.949967759
276	6.949495317
277	6.94875689
278	6.947269751
279	6.945888783
280	6.944669563
281	6.943726577
282	6.941857159
283	6.940852132
284	6.939738925
285	6.938767134
286	6.937732987
287	6.936057705
288	6.935149807
289	6.934107375
290	6.933035542
291	6.931825733
292	6.931093464
293	6.930385442
294	6.929054328
295	6.928355681
296	6.927577668
297	6.926827181
298	6.925502131
299	6.924071817
300	6.923171952
301	6.922555864
302	6.921419184
303	6.919981659
304	6.919114267
305	6.918325557
306	6.917405761
307	6.916448998
308	6.915287415
309	6.914712614
310	6.914226255
311	6.913687854
312	6.912871593
313	6.912172431
314	6.911664743
315	6.910853059
316	6.910151053
317	6.909214703
318	6.907906131
319	6.907008202
320	6.906004293
321	6.905187347
322	6.903911755
323	6.903380569
324	6.902541663
325	6.901521241
326	6.900662435
327	6.900060232
328	6.898919877
329	6.898273701
330	6.897484805
331	6.896453642
332	6.895777083
333	6.894360474
334	6.893637855
335	6.892784587
336	6.891973241
337	6.891504514
338	6.89061609
339	6.889836231
340	6.889370995
341	6.888565161
342	6.888015301
343	6.886846829
344	6.8857229
345	6.885342019
346	6.88457366
347	6.883506985
348	6.882945522
349	6.882338591
350	6.881637258
351	6.880999397
352	6.880377162
353	6.879456313
354	6.879106296
355	6.878298094
356	6.877268884
357	6.876652296
358	6.876091546
359	6.875406774
360	6.874638001
361	6.874224807
362	6.873369143
363	6.872843058
364	6.872168905
365	6.871249835
366	6.870483858
367	6.869985894
368	6.86959437
369	6.868891992
370	6.868278923
371	6.867588277
372	6.867101919
373	6.866406158
374	6.865569162
375	6.864887368
376	6.864214282
377	6.86378541
378	6.86303469
379	6.862617174
380	6.861951972
381	6.861240199
382	6.860677272
383	6.860081718
384	6.859388543
385	6.858834006
386	6.858087491
387	6.857615387
388	6.856853494
389	6.856225347
390	6.855320424
391	6.854387243
392	6.85417159
393	6.853383903
394	6.853054966
395	6.852500626
396	6.851810557
397	6.851351845
398	6.850827015
399	6.85003367
400	6.849390745
401	6.848685773
402	6.84782037
403	6.84745045
404	6.846790724
405	6.846138286
406	6.845672137
407	6.845082991
408	6.84440215
409	6.843921187
410	6.842741113
411	6.842271328
412	6.841692136
413	6.84112507
414	6.840827201
415	6.839766462
416	6.839440991
417	6.838649042
418	6.838179416
419	6.8377346
420	6.837219877
421	6.836717474
422	6.835971524
423	6.835574633
424	6.835204556
425	6.834648061
426	6.834155375
427	6.833730658
428	6.832930215
429	6.832533047
430	6.832009356
431	6.8315462
432	6.831059572
433	6.830354431
434	6.829866943
435	6.829231223
436	6.828402422
437	6.827923323
438	6.827284
439	6.826817943
440	6.826308236
441	6.826022313
442	6.825507464
443	6.824996512
444	6.824348232
445	6.82383209
446	6.823214746
447	6.822514803
