iter	Passed	Remaining
0	3	7124
1	7	7096
2	10	7032
3	14	7019
4	17	6914
5	20	6882
6	24	6847
7	27	6807
8	30	6766
9	33	6716
10	36	6658
11	40	6636
12	43	6620
13	46	6615
14	49	6567
15	52	6547
16	55	6510
17	59	6502
18	62	6478
19	65	6448
20	68	6471
21	71	6464
22	75	6464
23	78	6459
24	81	6472
25	84	6451
26	88	6452
27	91	6431
28	94	6431
29	97	6428
30	101	6429
31	104	6413
32	107	6410
33	110	6400
34	114	6413
35	117	6396
36	120	6375
37	123	6368
38	126	6354
39	129	6353
40	132	6353
41	136	6373
42	140	6373
43	143	6364
44	146	6360
45	149	6357
46	152	6339
47	156	6346
48	159	6355
49	163	6379
50	166	6374
51	170	6379
52	173	6390
53	177	6403
54	180	6394
55	184	6393
56	187	6388
57	190	6387
58	194	6394
59	197	6386
60	201	6390
61	204	6393
62	207	6387
63	210	6377
64	214	6373
65	217	6375
66	220	6368
67	224	6366
68	227	6367
69	231	6373
70	234	6374
71	237	6367
72	240	6354
73	243	6347
74	247	6349
75	250	6345
76	253	6337
77	257	6340
78	260	6339
79	264	6348
80	267	6349
81	271	6351
82	274	6344
83	278	6348
84	281	6342
85	284	6338
86	288	6339
87	291	6329
88	295	6336
89	298	6325
90	301	6330
91	305	6339
92	309	6342
93	313	6346
94	316	6341
95	319	6345
96	323	6352
97	326	6345
98	330	6342
99	334	6350
100	337	6349
101	341	6352
102	344	6353
103	348	6352
104	351	6351
105	355	6344
106	358	6341
107	361	6341
108	365	6334
109	369	6340
110	372	6346
111	376	6346
112	379	6339
113	383	6344
114	387	6344
115	390	6348
116	394	6348
117	398	6349
118	402	6356
119	405	6353
120	409	6355
121	413	6359
122	416	6357
123	419	6351
124	423	6356
125	426	6349
126	430	6353
127	434	6349
128	438	6355
129	441	6352
130	445	6350
131	448	6346
132	451	6343
133	455	6343
134	458	6336
135	461	6330
136	465	6332
137	469	6328
138	472	6330
139	476	6333
140	480	6331
141	483	6330
142	487	6330
143	491	6332
144	494	6330
145	497	6323
146	501	6320
147	504	6315
148	508	6313
149	511	6310
150	515	6311
151	518	6303
152	521	6298
153	525	6297
